countyFips,countyName,year,observedEdRate,summerAvgMax,heatwaveDays,consecutiveHotDays,warmNightCount,tailPercentileTemp,elderlyPct,povertyPct,acCoverage,treeCanopy
06079,San Luis Obispo,2023,17.56,84.06233363719235,222,4,21,107.06,21.566969582856697,12.229382633594565,71.59,24.1
06079,San Luis Obispo,2024,13.03,89.45868852459016,394,10,49,109.94,22.14061195858713,12.276464633908118,71.35,23.46
06081,San Mateo,2020,5.66,76.50844262295082,44,2,0,104.0,16.172058571908106,6.128734377102046,77.71,27.27
06081,San Mateo,2021,3.22,75.01950000000001,19,0,0,96.80899999999995,16.2453704189443,6.11734217456537,79.31,26.66
06081,San Mateo,2022,7.32,75.45411764705882,33,2,1,104.0,16.906861120318197,6.382101425256878,77.34,27.87
06081,San Mateo,2023,4.35,73.16976744186046,11,0,0,95.0,17.29875184538988,6.434706750771708,78.17,26.59
06081,San Mateo,2024,4.6,75.08509589041097,29,0,0,98.06,17.81420912250451,6.649109572433116,74.12,28.11
06083,Santa Barbara,2020,4.43,80.05459645669292,282,2,37,109.66100000000004,15.289000775463874,12.2772789085065,76.73,28.25
06083,Santa Barbara,2021,4.44,79.32924444444444,301,0,32,105.98,15.239773841675769,12.793225079358695,75.54,27.53
06083,Santa Barbara,2022,9.59,80.70478539713864,324,3,41,107.96,15.935743116216283,12.918086399094369,74.97,26.87
06083,Santa Barbara,2023,5.35,77.4895741405849,175,0,29,104.0,16.213075060532688,13.150965707528576,75.48,27.61
06083,Santa Barbara,2024,7.02,80.04681034482758,328,2,47,107.96,16.612538623983266,14.063524761044036,76.3,26.85
06085,Santa Clara,2020,6.25,83.19311827956989,76,3,29,105.08,13.51022849449095,7.05531498732838,76.17,26.7
06085,Santa Clara,2021,5.88,82.56921269095182,47,2,33,100.94,13.555176907923409,6.5501842111528745,72.81,23.93
06085,Santa Clara,2022,8.84,82.53481481481481,66,6,29,106.20320000000008,14.082775163799,6.773367083483104,74.85,25.42
06085,Santa Clara,2023,7.12,78.68221311475409,24,1,24,97.72519999999994,14.391920966617402,6.749866153311858,74.07,23.77
06085,Santa Clara,2024,10.89,83.33459905660378,81,2,54,101.51239999999996,14.82665780603739,6.9838442478025,74.31,24.26
06087,Santa Cruz,2020,7.53,79.82224887556222,65,3,11,110.30720000000004,16.44141011091994,11.39217337189296,76.7,27.4
06087,Santa Cruz,2021,4.76,78.33892116182572,39,1,11,102.02,16.8241847885999,10.434411952759262,76.01,26.94
06087,Santa Cruz,2022,11.3,81.16124590163935,66,5,6,107.96,17.74875172673148,10.9103365590477,77.21,25.32
06087,Santa Cruz,2023,7.31,76.72144262295082,39,0,6,99.94279999999998,18.338401855492613,10.755917765890665,74.97,24.54
06087,Santa Cruz,2024,5.92,79.15816326530613,39,1,13,100.04,18.97699735020345,11.126880713859718,74.16,23.08
06089,Shasta,2020,21.17,90.42625282167045,655,8,51,109.94,20.596651921435623,14.784650828094406,62.06,16.54
06089,Shasta,2021,50.64,92.51553873034362,851,20,90,111.77599999999993,20.43586995355484,13.941792398384036,62.76,19.5
06089,Shasta,2022,40.64,90.26170454545456,741,17,89,111.38900000000008,21.08252864967116,13.061720519983282,62.66,17.51
06089,Shasta,2023,45.59,87.38030508474577,480,10,62,109.31899999999996,21.24987606992961,12.767000451656257,60.77,16.52
06089,Shasta,2024,50.14,91.8383430571762,766,15,114,114.08,21.50014330121916,13.065213077889725,62.54,17.55
06091,Sierra,2020,,80.74433763188745,26,0,0,97.49840000000002,28.19185645272601,9.35127674258109,68.34,19.44
06091,Sierra,2021,,82.83736670293797,63,1,0,99.6152,27.768756089639496,8.087041247158169,71.78,20.7
06091,Sierra,2022,,79.8629411764706,40,0,1,97.87640000000005,31.17283950617284,12.311385459533607,70.82,21.1
06091,Sierra,2023,,77.0142105263158,25,0,0,96.98,34.49285975833028,11.90040278286342,66.72,20.91
06091,Sierra,2024,,81.23156862745098,52,1,2,98.96,35.06919155134741,4.151493080844865,67.57,21.79
06093,Siskiyou,2020,,85.7701759044142,622,3,1,105.08,25.23899255446273,16.761650887030058,59.0,16.58
06093,Siskiyou,2021,,87.29173985920215,837,11,3,107.06,25.480736563158253,16.554551425788773,60.31,16.91
